sheet_name,seed,lookback,train_ratio,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
littlemanyu,17,14,0.8,0.0003319293201053,0.0004491964895021,28.678797988279257,34.215309236604746,0.6470588235294118,-0.0847388652952099,17
lmeow2,17,14,0.8,0.0066803256297686,0.0076791208939314,39.97298543226511,32.25795368938407,0.2352941176470588,-0.0382950569360246,17
loafcat,17,14,0.8,1.214530824366389e-05,1.3645441108475071e-05,45.112223761164046,63.046277338879975,0.5294117647058824,0.0542166005482445,17
lovelyinufinance,17,14,0.8,0.0001232944795044,0.0001505530610028,7.986069613057609,8.10856001585755,0.4705882352941176,0.0280183922236568,17
luci,17,14,0.8,0.0002233713753483,0.0002814641845905,30.425144824283723,33.47242891201488,0.7058823529411765,0.3469194036123852,17
mad2,17,14,0.8,7.701391318462947e-06,8.58526796824037e-06,58.42204843571652,43.516191280825495,0.3529411764705882,-0.0778698465085477,17
magahat,17,14,0.8,2.395550490568086e-05,2.5500278366538512e-05,82.19157202548848,54.268196316148746,0.2941176470588235,0.0164447096120582,17
majorfrog,17,14,0.8,0.0084978029074993,0.0096059730517554,20.241386137937823,22.022946179349724,0.7058823529411765,0.0686814363276392,17
mars2,17,14,0.8,9.923999562898569e-07,1.0684854134543368e-06,19.590582212611285,17.51829210373084,0.4117647058823529,-0.0119073164405266,17
mellowman,17,14,0.8,0.0035700173454535,0.0039811683438186,22.77140492478955,19.9350411995212,0.5294117647058824,0.0357207119111652,17
memesai,17,14,0.8,0.0327349001722218,0.0329036484606717,357.1064207830359,121.42456266162128,0.0588235294117647,-0.2118470682832465,17
metamonopoly,17,14,0.8,0.0005103970584427,0.0006497977065455,16.53392118049261,14.650661534217758,0.7058823529411765,0.0828364000903172,17
miladywifhat,17,14,0.8,2.0317498039561825e-07,2.5261742556645146e-07,10.606122549398153,11.154799832794833,0.4705882352941176,0.013034708096016,17
mongcoin,17,14,0.8,5.381910082729668e-10,5.381910082729668e-10,5.381910082729668,5.240880348772476,0.0,0.0,17
monkeyhaircut,17,14,0.8,0.0002426533888463,0.0002657069772425,34.082710415115926,27.655040561789544,0.1764705882352941,-0.0717562801694693,17
moodeng2,17,14,0.8,2.7460540147641995e-05,2.85800178996398e-05,32.759953906304666,27.68255031915557,0.2941176470588235,-0.016798573241367,17
nailong,17,14,0.8,0.0022025087389031,0.0026625328733502,86.47138481397654,51.10741370075797,0.4117647058823529,-0.0154367822702572,17
nasdaq420,17,14,0.8,0.0015502001696144,0.0019434273582424,33.030197312746125,24.256057529297788,0.4117647058823529,-0.0368549743568213,17
neiro,17,14,0.8,0.0004598130213373,0.0004899205213218,18.68709736293302,16.792101925145495,0.4117647058823529,-0.0225168264046256,17
