seed,sheet_name,variant,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
11,bitcat2,V2,0.0009713324713635218,0.0009795047916125856,825.2280882065852,159.34410262591328,0.17647058823529413,-0.10738913610506955,17
11,bitcat2,V3,2.693335294117648e-05,3.092145125865177e-05,21.24462061058843,24.471757692801468,0.8235294117647058,0.10738913610506955,17
11,bobaoppa,V0,0.003102828396067145,0.00311369182487515,173.99936906381657,91.8727267775733,0.47058823529411764,0.0318847681526921,17
11,bobaoppa,V1,0.006545904930981679,0.008834419394750569,382.84393921537367,182.52956217944313,0.5882352941176471,-0.027313129992453795,17
11,bobaoppa,V2,0.0002947699842012634,0.0003452297161348065,15.446243021204914,16.468304612708355,0.7647058823529411,0.1187574363412739,17
11,bobaoppa,V3,0.0011644401328298373,0.001529717138100134,65.46404968060966,47.75334011263877,0.5882352941176471,0.014341550745158617,17
11,bobtoken,V0,0.00028802294117647055,0.0002880304006320084,1974.3731934499117,181.2897483141851,0.11764705882352941,-0.10087793892224482,17
11,bobtoken,V1,9.463e-05,0.000156149895311788,605.05638126101,194.1441056092114,0.7058823529411765,0.023031949220784914,17
11,bobtoken,V2,1.2857819289897124e-05,1.3008569296473183e-05,89.492120439489,60.924150291733866,0.11764705882352941,-0.10087793892224482,17
11,bobtoken,V3,2.1081999999999996e-05,2.7894048254063086e-05,138.1379349308884,69.18964017965888,0.5882352941176471,-0.00971082580104729,17
11,bongocat,V0,0.027298027178669575,0.027535924471737885,258.05053061141734,108.01891026511765,0.058823529411764705,-0.1586736339990352,17
11,bongocat,V1,0.014134605277946131,0.01592517057981291,122.97878364322945,141.3913296919061,0.6470588235294118,0.047815253868830065,17
11,bongocat,V2,0.022967134021579665,0.023314168749383465,211.81855961349308,99.41986791605572,0.058823529411764705,-0.1586736339990352,17
11,bongocat,V3,0.008335994710381205,0.009149108070575571,73.95919273572822,52.183914852039806,0.058823529411764705,-0.1586736339990352,17
11,brainlet2,V0,0.012347536704515298,0.012382274773686511,425.0515254473119,132.43892995094993,0.17647058823529413,-0.1439061241718671,17
11,brainlet2,V1,0.015845384585503285,0.0230479648702126,485.52258682129434,185.5401535977737,0.5294117647058824,0.09580097734966246,17
11,brainlet2,V2,0.00897715300263826,0.009098938909454027,309.16642705737513,117.36001711943584,0.17647058823529413,-0.1439061241718671,17
11,brainlet2,V3,0.0011981776467953136,0.0022266724888878736,46.278661688531955,28.623523989299667,0.8823529411764706,0.1761259177895635,17
11,brothecat,V0,0.004139175322167413,0.004144828911227637,788.4771027328522,156.35132718483123,0.35294117647058826,0.08739482252240835,17
11,brothecat,V1,0.018969963529411764,0.022312670573800725,3883.4474043111713,194.78328025874126,0.17647058823529413,-0.2361764125966983,17
11,brothecat,V2,0.0009663845148761583,0.0011009509737762986,188.57069240482238,89.31507596773058,0.35294117647058826,0.08739482252240835,17
11,brothecat,V3,0.00040702354141373585,0.0005493882976012554,77.98805332165976,48.229913038879914,0.7058823529411765,0.262785925484295,17
11,buu,V0,0.0019385442952151383,0.0019526041398017769,199.9817126171437,96.60478838177411,0.23529411764705882,-0.13198807976197252,17
11,buu,V1,0.011176418643542749,0.02335309718821704,1090.636307935213,195.2677560108617,0.5882352941176471,0.05082836191573519,17
11,buu,V2,0.002091920645058064,0.002102633312731225,214.76370709228462,100.4093459737042,0.23529411764705882,-0.13198807976197252,17
11,buu,V3,0.0015316216191270462,0.0018816737085863998,153.90890480311225,74.47092058984059,0.47058823529411764,0.013941425064147486,17
11,catalorian,V0,0.0011452455364507272,0.0014351461255075143,37.005835664972075,43.376076742503784,0.7647058823529411,0.15454550059583436,17
11,catalorian,V1,0.01001241653774174,0.015142550536228792,454.4961204678278,187.5149252038238,0.47058823529411764,-0.02280309368608208,17
11,catalorian,V2,0.0043290898328967944,0.00461593633113449,212.5948320936289,90.29299516613477,0.23529411764705882,-0.19845141894299484,17
11,catalorian,V3,0.0005243670588235295,0.0007095298674837655,18.289481090702676,19.93640541585294,0.7647058823529411,0.19845141894299484,17
11,catana,V0,0.017133214007973522,0.017328992262293733,467.2184592277397,127.5017486678945,0.23529411764705882,-0.16287810413822634,17
11,catana,V1,0.013974228491922668,0.01686135274468172,381.165232793321,129.1438997814239,0.4117647058823529,-0.04762684224138979,17
11,catana,V2,0.009953155837745782,0.011442495891971256,263.23845561730946,95.37457651544013,0.35294117647058826,-0.05493887721503226,17
11,catana,V3,0.0028620547149705356,0.003964872278819453,58.03016733887751,42.450811100173574,0.6470588235294118,0.1711820234451843,17
11,catecoin,V0,2.2505882352941172e-06,2.250615602059866e-06,1515.3656032548765,176.56459420365042,0.11764705882352941,-0.05270771363240859,17
11,catecoin,V1,2.7058823529411757e-07,5.59705805075572e-07,171.280276816609,198.44357976653697,0.6470588235294118,0.040323812703616006,17
11,catecoin,V2,8.894842471790955e-08,9.016185935181192e-08,59.99019552011684,45.839304574841385,0.11764705882352941,-0.05270771363240859,17
11,catecoin,V3,1.4917647058823531e-07,2.020448406840888e-07,100.48850241454048,58.39281546111744,0.5882352941176471,0.03179268095267003,17
