sheet_name,seed,comparison,delta_mae
realsmurfcat,23,V0_to_V1,0.01710924054108772
ribbit2,11,V0_to_V1,0.050704113726889544
ribbit2,17,V0_to_V1,0.05580944222862794
ribbit2,23,V0_to_V1,-0.01206978168701954
riko,11,V0_to_V1,0.022764598916811988
riko,17,V0_to_V1,0.0026434172125932957
riko,23,V0_to_V1,0.012916955383505964
rockytherock,11,V0_to_V1,0.016545113065014647
rockytherock,17,V0_to_V1,0.024293433781636217
rockytherock,23,V0_to_V1,-0.002513949176060494
ronnie,11,V0_to_V1,0.017713887400310435
ronnie,17,V0_to_V1,0.010350750194155208
ronnie,23,V0_to_V1,0.030948437542706708
rsnoofi,11,V0_to_V1,0.02456826766467808
rsnoofi,17,V0_to_V1,0.035418507154923506
rsnoofi,23,V0_to_V1,-0.033072881377302604
ryujin,11,V0_to_V1,0.09732500097445033
ryujin,17,V0_to_V1,0.021435028945534937
ryujin,23,V0_to_V1,0.05882186711017998
sadhamster,11,V0_to_V1,0.014980851689173647
sadhamster,17,V0_to_V1,0.012043432223861075
sadhamster,23,V0_to_V1,-0.0006671992378158437
samoyedcoin,11,V0_to_V1,0.028628309065276306
samoyedcoin,17,V0_to_V1,-0.013906868624000642
samoyedcoin,23,V0_to_V1,-0.005095999401863803
sharbi,11,V0_to_V1,0.02244743050854456
sharbi,17,V0_to_V1,-0.014360094680165542
sharbi,23,V0_to_V1,0.015872907555983466
sharkcat,11,V0_to_V1,0.014241388040649719
sharkcat,17,V0_to_V1,0.013026656606372457
sharkcat,23,V0_to_V1,0.01585848845470359
sharki,11,V0_to_V1,0.01675764871756122
sharki,17,V0_to_V1,0.003311040755760032
sharki,23,V0_to_V1,0.017207029609364412
shinainu,11,V0_to_V1,0.02591881961779413
shinainu,17,V0_to_V1,0.016264604985915563
shinainu,23,V0_to_V1,0.015386923527341466
shoggoth,11,V0_to_V1,0.027903534742858265
shoggoth,17,V0_to_V1,-0.03378011442682689
shoggoth,23,V0_to_V1,0.0059452375671459265
sillydragon,11,V0_to_V1,0.047499197482500685
sillydragon,17,V0_to_V1,0.03275843112014982
sillydragon,23,V0_to_V1,-0.018102237553327193
sillynubcat,11,V0_to_V1,0.0074793259476774385
sillynubcat,17,V0_to_V1,0.00777054142887415
sillynubcat,23,V0_to_V1,-0.002075916955404336
slop,11,V0_to_V1,0.018925891288528028
slop,17,V0_to_V1,0.020217242101048766
slop,23,V0_to_V1,-0.0016044206134991842
slothana,11,V0_to_V1,0.04265348770121181
slothana,17,V0_to_V1,0.019822612884400514
slothana,23,V0_to_V1,0.03237409371292985
snapkero,11,V0_to_V1,0.014892443047734426
snapkero,17,V0_to_V1,0.029699808729813936
snapkero,23,V0_to_V1,-0.0005693407758039573
solchat,11,V0_to_V1,-0.019620378543214134
solchat,17,V0_to_V1,0.08528472254512762
solchat,23,V0_to_V1,-0.11812202570177652
speedy2,11,V0_to_V1,0.01941601411206968
speedy2,17,V0_to_V1,-0.024311193533596086
speedy2,23,V0_to_V1,-0.03034434573169611
squidgrow2,11,V0_to_V1,0.01058518952879027
squidgrow2,17,V0_to_V1,-0.03237709830200859
squidgrow2,23,V0_to_V1,-0.0003439315461749651
strategicbitcoinreserve,11,V0_to_V1,0.0064059024573199785
strategicbitcoinreserve,17,V0_to_V1,0.003235363026525717
strategicbitcoinreserve,23,V0_to_V1,-0.0002473529003224062
supercyclereal,11,V0_to_V1,0.026350394537996646
supercyclereal,17,V0_to_V1,0.028089814604734736
supercyclereal,23,V0_to_V1,0.008390604329712219
supertrump,11,V0_to_V1,0.034236197525646744
supertrump,17,V0_to_V1,0.033370269506146175
supertrump,23,V0_to_V1,-0.001248250174432454
suwi,11,V0_to_V1,0.03418297010905039
suwi,17,V0_to_V1,0.023872259639418462
suwi,23,V0_to_V1,0.000751574996250115
taoinu,11,V0_to_V1,0.021849415520981363
taoinu,17,V0_to_V1,0.022964782826601325
taoinu,23,V0_to_V1,0.022277250707933807
tateterminal,11,V0_to_V1,0.019135912871530887
tateterminal,17,V0_to_V1,0.017540670523548938
tateterminal,23,V0_to_V1,0.011489303439371087
tehepikduck,11,V0_to_V1,0.02858140756395839
tehepikduck,17,V0_to_V1,0.025215823936393864
tehepikduck,23,V0_to_V1,0.012226023865766052
terminus2,11,V0_to_V1,-0.08017354497817067
terminus2,17,V0_to_V1,-0.06405928493427694
terminus2,23,V0_to_V1,0.045390888378506286
terminus3,11,V0_to_V1,0.05050775210896827
terminus3,17,V0_to_V1,0.036392659452452264
terminus3,23,V0_to_V1,0.02609574430325519
thebalkandwarf,11,V0_to_V1,0.015151016948326136
thebalkandwarf,17,V0_to_V1,0.028825660667505124
thebalkandwarf,23,V0_to_V1,-0.0006149068109552944
thelastplay,11,V0_to_V1,0.03663230303672231
thelastplay,17,V0_to_V1,0.04210228035854964
thelastplay,23,V0_to_V1,-0.0008377352470443702
thereallandwolf,11,V0_to_V1,0.015337478880230883
thereallandwolf,17,V0_to_V1,0.02825541355622894
thereallandwolf,23,V0_to_V1,-0.0006447459235979988
thesoldog,11,V0_to_V1,0.009225149037284434
thesoldog,17,V0_to_V1,0.028782282284834253
thesoldog,23,V0_to_V1,0.012018971619192187
tobi,11,V0_to_V1,0.03267139909719031
tobi,17,V0_to_V1,0.031029358752758876
tobi,23,V0_to_V1,0.000400232552968241
toga,11,V0_to_V1,0.008991061711405186
toga,17,V0_to_V1,0.0031152359756210224
toga,23,V0_to_V1,0.015437150540232258
torsy,11,V0_to_V1,0.02573509009356413
torsy,17,V0_to_V1,0.019904429540922194
torsy,23,V0_to_V1,0.00929462435445813
troll,11,V0_to_V1,0.014883433148234907
troll,17,V0_to_V1,0.02970413008333448
