sheet_name,seed,lookback,train_ratio,mae,rmse,mape,directional_accuracy,roi_proxy
dogebonk,17,7,0.8,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-14,0.0,0.0
dogemascotshibu,17,7,0.8,0.00030128462452628076,0.0003471792846846258,24.56122524317344,0.35294117647058826,0.02444535315383735
dogeonsolana,17,7,0.8,0.0005222869053249211,0.0005284987592690329,135.49147851637775,0.23529411764705882,-0.12998284308148633
doggo3,17,7,0.8,2.3597813176661594e-06,2.3644332642791276e-06,188.65491888149123,0.17647058823529413,-0.0741089257279335
donaldtremp,17,7,0.8,0.03729019925492465,0.04084527134042041,58.15207048812747,0.4117647058823529,0.010494169443561845
dorklord2,17,7,0.8,0.020094040822646854,0.02054557640087097,81.34797261798597,0.47058823529411764,0.02141138881907864
ducky,17,7,0.8,3.2723668320396976e-06,3.278279881570776e-06,450.19197330661206,0.058823529411764705,-0.12738635694078132
duko,17,7,0.8,0.0005163619830348743,0.0005211452747828446,145.87400139866259,0.17647058823529413,-0.08708807002240587
elgato,17,7,0.8,7.37765899352122e-05,7.512244414639306e-05,62.753777907547025,0.29411764705882354,-0.059248449299175346
elon,17,7,0.8,1.9135481832212407e-06,2.061741166963038e-06,65.60373527183593,0.35294117647058826,-0.04343678116643227
eyeearn,17,7,0.8,7.545824827015802e-07,7.552406871016741e-07,433.4346897058528,0.17647058823529413,-0.054928970001262206
feces,17,7,0.8,0.0009521184129710506,0.0010285973461086975,104.3255807956556,0.29411764705882354,-0.12073736832907589
fefeoneth,17,7,0.8,0.004488067638299683,0.004523880954067064,134.67185121267812,0.35294117647058826,-0.07614393732224206
feistydogenft,17,7,0.8,0.0001174155635252924,0.00011812787623005233,134.1047059143673,0.11764705882352941,-0.06611848199417451
fighttomaga,17,7,0.8,0.0010941547369347669,0.0012319893714515355,62.073798188689075,0.35294117647058826,-0.05840264305868307
firstreply,17,7,0.8,0.0005517625731937809,0.0007245933093599461,38.42429909366456,0.5882352941176471,-5.9118247638032786e-05
fisttrumppump,17,7,0.8,0.40266302522852615,0.4208011851816926,165.92758419779926,0.35294117647058826,-0.06923925084570579
floos,17,7,0.8,0.0004735081940985626,0.0004786887521468929,75.84204771721002,0.4117647058823529,0.011612054603177846
fofar,17,7,0.8,2.6638298009837258e-06,2.7458464181240154e-06,56.3361738386825,0.29411764705882354,-0.06943615776758041
forest,17,7,0.8,0.012538317381898102,0.012576888948858347,386.44129401116186,0.23529411764705882,-0.1448303413737902
gamestop,17,7,0.8,2.165662137299092e-05,2.8936208569323507e-05,9.991977635697925,0.8235294117647058,0.08509443633183406
gameswift,17,7,0.8,0.03710732949360144,0.037799989208252324,71.05272589380239,0.17647058823529413,-0.08514521564274224
gdog,17,7,0.8,2.566992504755841e-06,2.5750525813088138e-06,94.54681568222306,0.4117647058823529,-0.004002770370807259
gikocat,17,7,0.8,1.4160135156633493,1.5275191496113574,89.86000590061765,0.17647058823529413,-0.1140835328857547
ginnanthecat,17,7,0.8,1.131920703595278e-06,1.139223969126617e-06,454.231195031314,0.058823529411764705,-0.19179719422666267
gme,17,7,0.8,0.0019308553314091842,0.0019595161709499895,75.04228246806034,0.35294117647058826,-0.06363399110373891
groyper,17,7,0.8,0.014274831599853264,0.014359258059352929,174.00252706160063,0.17647058823529413,-0.10576915376287588
guacamole,17,7,0.8,1.1227180260998295e-08,1.2258508474664169e-08,52.46788256636633,0.23529411764705882,0.03921568627450978
gummy,17,7,0.8,0.0027110670852588835,0.002729633750519063,88.119911103936,0.17647058823529413,-0.06824515420023135
habibisol,17,7,0.8,0.002964172164985178,0.0029867031932459933,279.5689768334163,0.47058823529411764,0.08083908854263445
